FULLNAME,HEIGHT,OVRL,MIN/GAME,PTS/MIN,GP,GS,TS%,UPTS/MIN,REB/MIN,DREB/MIN,OREB/MIN,AST/MIN,STL/MIN,BLK/MIN,TOV/MIN,PF/MIN,FG_PCT,FGM/MIN,FGA/MIN,FG3_PCT,FG3M/MIN,FG3A/MIN,FT_PCT,FTM/MIN,FTA/MIN,PLAYER_ID
Bob McAdoo,2.06,67.42,32.75,0.66,946,1,0.55,0.36,0.28,0.19,0.06,0.07,0.03,0.04,0.04,0.1,0.5,0.26,0.52,0,0,0,0.74,0.14,0.18,154996
Karl Malone,2.06,67.2,37.6,0.66,1669,1664,0.57,0.38,0.27,0.21,0.06,0.09,0.04,0.02,0.08,0.08,0.49,0.24,0.48,0.22,0,0.01,0.74,0.18,0.24,504
Jerry Lucas,2.03,67.2,38.29,0.43,901,0,0.54,0.23,0.4,0.01,0,0.09,0,0,0,0.07,0.48,0.18,0.35,0,0,0,0.78,0.08,0.1,154836
Kawhi Leonard,2.01,66.94,32.09,0.61,711,684,0.6,0.37,0.21,0.17,0.04,0.09,0.05,0.02,0.05,0.06,0.5,0.22,0.44,0.39,0.05,0.12,0.85,0.12,0.15,405390
Walt Bellamy,2.08,66.76,37.54,0.53,1089,0,0.55,0.29,0.37,0.01,0.01,0.07,0,0,0,0.09,0.49,0.2,0.39,0,0,0,0.64,0.13,0.21,152288
Chris Paul,1.83,66.73,34.82,0.53,1246,1246,0.58,0.31,0.13,0.11,0.02,0.27,0.06,0,0.07,0.07,0.48,0.19,0.4,0.37,0.04,0.11,0.86,0.12,0.13,202216
Jerry West,1.91,66.27,39.53,0.69,1085,0,0.55,0.38,0.15,0,0,0.17,0,0,0,0.07,0.47,0.25,0.52,0,0,0,0.81,0.2,0.24,156994
Thomas Bryant,2.08,65.75,20.88,0.51,143,99,0.66,0.34,0.29,0.21,0.08,0.07,0.02,0.04,0.04,0.09,0.6,0.21,0.35,0.36,0.03,0.07,0.75,0.07,0.1,1628418
Kevin Garnett,2.11,65.22,34.7,0.51,1605,1568,0.54,0.28,0.29,0.23,0.06,0.11,0.04,0.04,0.06,0.07,0.49,0.21,0.42,0.27,0,0.01,0.79,0.1,0.12,1416
Ben Simmons,2.11,65.1,34.04,0.46,309,309,0.58,0.27,0.24,0.18,0.06,0.23,0.05,0.02,0.1,0.09,0.57,0.19,0.34,0.07,0,0,0.56,0.09,0.14,3255464
